dataset,scoring_type,interpretation_tier,n,scored_n,coverage,accuracy,unparsed_rows,unparsed_rate,length_rows,length_rate,needs_judge
BLINK,mcq,low_coverage_diagnostic,1124,562,0.500000,0.784698,562,0.500000,0,0.000000,false
DynaMath_Sample,numeric_exact,low_coverage_diagnostic,501,285,0.568862,0.259649,216,0.431138,0,0.000000,false
GQA,normalized_exact,rough_exact_match_diagnostic,5000,5000,1.000000,0.705600,0,0.000000,0,0.000000,false
MMBench,mcq,high_coverage_deterministic_mcq,4329,4327,0.999538,0.897157,0,0.000000,2,0.000462,false
MMMU_Pro_10,mcq,low_coverage_diagnostic,1730,309,0.178613,0.300971,1416,0.818497,5,0.002890,false
MMMU_Pro_4,mcq,low_coverage_diagnostic,1730,657,0.379769,0.522070,1065,0.615607,8,0.004624,false
MMSI-Bench,mcq,high_coverage_deterministic_mcq,1000,1000,1.000000,0.324000,0,0.000000,0,0.000000,false
MMVet,needs_judge,needs_judge,218,0,0.000000,,0,0.000000,0,0.000000,true
MV-MATH,numeric_exact,low_coverage_diagnostic,2009,23,0.011448,0.782609,1622,0.807367,364,0.181185,false
MathVerse,numeric_exact,low_coverage_diagnostic,3940,647,0.164213,0.295209,3179,0.806853,114,0.028934,false
MathVista,normalized_exact,rough_exact_match_diagnostic,1000,975,0.975000,0.609231,25,0.025000,0,0.000000,false
MindCube-Bench,mcq,high_coverage_deterministic_mcq,21154,21154,1.000000,0.334594,0,0.000000,0,0.000000,false
ReMI,normalized_exact,rough_exact_match_diagnostic,2600,2457,0.945000,0.237688,143,0.055000,0,0.000000,false
ScienceQA-IMG,mcq,high_coverage_deterministic_mcq,2097,2096,0.999523,0.897901,1,0.000477,0,0.000000,false
VQAv2,normalized_exact,rough_exact_match_diagnostic,5000,4996,0.999200,0.722178,4,0.000800,0,0.000000,false
ViewSpatial-Bench,mcq,high_coverage_deterministic_mcq,5712,5712,1.000000,0.396884,0,0.000000,0,0.000000,false
